URL,Price,Address,Date,Contact,Bedrooms,Bathrooms,SqFt,Availability
https://www.forrent.com/ca/north-hollywood/12233-vanowen-st/nny619p,"$2,200","12233 Vanowen St, North Hollywood, CA 91605",2025-12-04T03:41:25.367Z,(818) 926-4910,2 Beds,1 Bath,850 sq. ft.,Available Now
https://www.forrent.com/ca/riverside/raincross-promenade/ehj245q,N/A,N/A,2025-12-04T20:22:16.957Z,(909) 640-3340,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/goleta/123-arboleda-rd/qd2qzjy,"$3,295","123 Arboleda Rd, Goleta, CA 93110",2025-12-03T23:47:32.877Z,N/A,1 Bed,1 Bath,890 sq. ft.,Available Now
https://www.forrent.com/ca/west-hollywood/970-palm-avenue/6lw8tkv,"$3,499","970 Palm Avenue, West Hollywood, CA 90069",2025-11-11T19:36:16.853Z,(774) 854-3122,2 Beds,2 Baths,906 sq. ft.,Available Now
https://www.forrent.com/ca/santa-cruz/41-grandview-street/50xpb3q,"$4,450","41 Grandview Street, Santa Cruz, CA 95060",2025-09-23T16:37:47.190Z,N/A,2 Beds,2.5 Baths,"1,100 sq. ft.",Available Now
https://www.forrent.com/ca/pacific-palisades/16070-sunset-blvd/9ywvnr7,N/A,N/A,2025-12-03T14:24:09.920Z,(424) 414-7963,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/walnut-creek/1919-ygnacio-valley-rd/hsmyyh2,"$2,700","1919 Ygnacio Valley Rd, Walnut Creek, CA 94598",2025-12-04T17:09:39.740Z,(925) 281-4493,2 Beds,1.5 Baths,820 sq. ft.,Available Jan 15
https://www.forrent.com/ca/sherman-oaks/citrus-commons/2dt8l9c,N/A,N/A,2025-12-04T03:30:02.187Z,(747) 337-5819,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/mountain-view/2400-w-el-camino-real/nvn3nwn,"$3,890","2400 W El Camino Real, Mountain View, CA 94040",2025-12-03T20:40:47.100Z,(650) 540-7189,2 Beds,2 Baths,"1,116 sq. ft.",Available Dec 4
https://www.forrent.com/ca/los-angeles/1635-north-martel-avenue/lkzq2je,N/A,N/A,2025-12-03T14:19:10.580Z,(323) 747-7889,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/foster-city/722-edgewater-blvd/pyv969r,"$3,250","722 Edgewater Blvd, Foster City, CA 94404",2025-12-04T17:20:58.617Z,(650) 822-1940,2 Beds,2 Baths,"1,020 sq. ft.",Available Dec 5
https://www.forrent.com/ca/los-angeles/859-n-mansfield-ave/lyppwse,"$4,500 - $5,000","859 N Mansfield Ave, Los Angeles, CA 90038",2025-12-04T03:41:30.570Z,(323) 312-3548,2 Beds,2 Baths,"1,000 sq. ft.",Available Now
https://www.forrent.com/ca/berkeley/2398-parker-st/rzzfyx2,"$3,395","2398 Parker St, Berkeley, CA 94704",2025-12-04T02:07:05.430Z,(510) 391-4701,2 Beds,1 Bath,590 sq. ft.,Available Jun 3
https://www.forrent.com/ca/woodland-hills/21450-burbank-blvd/x7rglrp,"$2,805","21450 Burbank Blvd, Woodland Hills, CA 91367",2025-12-02T23:52:36.870Z,N/A,2 Beds,2 Baths,"1,087 sq. ft.",Available Now
https://www.forrent.com/ca/oakland/475-newton-ave/pbq7y4s,"$2,995","475 Newton Ave, Oakland, CA 94606",2025-11-30T20:29:58.873Z,(862) 354-8339,2 Beds,1 Bath,"1,081 sq. ft.",Available Dec 15
https://www.forrent.com/ca/san-francisco/8-10th-st/r5j7hm0,"$4,740","8 10th St, San Francisco, CA 94103",2025-12-03T20:40:48.500Z,(628) 280-6984,2 Beds,2 Baths,"1,442 sq. ft.",Available Dec 10
https://www.forrent.com/ca/santa-clarita/24149-del-monte-dr/yqbncct,"$2,700","24149 Del Monte Dr, Santa Clarita, CA 91355",2025-12-04T21:50:32.453Z,(661) 263-4838,2 Beds,2 Baths,970 sq. ft.,Available Now
https://www.forrent.com/ca/san-jose/del-coronado-apartments/tf46259,N/A,N/A,2025-12-04T01:37:08.327Z,(669) 201-9948,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/los-angeles/4920-van-nuys-blvd/95dekb7,"$2,040","4920 Van Nuys Blvd, Los Angeles, CA 91403",2025-12-04T20:40:55.303Z,(747) 245-3843,1 Bed,1 Bath,610 sq. ft.,Available Dec 5
